Ensemble_1,Ensemble_2,Ensemble_3,Ensemble_4,Ensemble_5,Ensemble_6,Ensemble_7,Ensemble_8,Ensemble_9,Ensemble_10
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,26280,0,0
0,0,146327040,0,0,0,32324400,22548240,0,4362480
0,0,11983680,0,0,23441760,91980000,19920240,0,4204800
0,0,5466240,7621200,0,23441760,14375160,11957400,0,1497960
0,15715440,3337560,18422280,0,8514720,17082000,16766640,7174440,7989120
0,4940640,1787040,5991840,0,25938360,19394640,25018560,8541000,47855880
0,1918440,972360,2628000,0,9014040,10722240,9145440,3206160,8619840
0,105120,341640,972360,0,3836880,4204800,4152240,1156320,3363840
0,0,0,0,0,735840,78840,840960,0,762120
0,26280,0,0,0,0,26280,0,0,0
0,0,0,0,0,0,0,0,0,0